,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_learning_rate,params_max_bin,params_random_strength,state
73,73,0.3010078344440393,2023-06-10 16:10:57.658062,2023-06-10 16:11:01.514405,0 days 00:00:03.856343,0.02238191730962841,,7,Lossguide,1068,51.5197923078987,0.0040681116940166585,32,74,COMPLETE
74,74,0.2988086129674083,2023-06-10 16:11:01.515039,2023-06-10 16:11:05.137333,0 days 00:00:03.622294,0.02051199296950475,,7,Lossguide,946,55.95293567499006,0.004369295275663399,32,86,COMPLETE
75,75,0.2991535157844873,2023-06-10 16:11:05.138135,2023-06-10 16:11:09.219305,0 days 00:00:04.081170,0.014703904190465335,,7,Lossguide,900,56.23116342905558,0.004011566424272052,32,91,COMPLETE
76,76,0.2986488149327084,2023-06-10 16:11:09.219928,2023-06-10 16:11:12.157321,0 days 00:00:02.937393,0.017982266542458967,,7,Lossguide,939,50.911579090744965,0.005785723435809331,32,90,COMPLETE
77,77,0.2985134022890858,2023-06-10 16:11:12.157983,2023-06-10 16:11:15.088125,0 days 00:00:02.930142,0.019883673546278704,,7,Lossguide,901,57.00396459985499,0.0055910414404867215,32,92,COMPLETE
78,78,0.29693219459401643,2023-06-10 16:11:15.089154,2023-06-10 16:11:17.863896,0 days 00:00:02.774742,0.022105674952502416,,7,Lossguide,900,60.08248356080594,0.0057641636645973035,32,92,COMPLETE
79,79,0.2971421855021668,2023-06-10 16:11:17.864504,2023-06-10 16:11:20.763104,0 days 00:00:02.898600,0.020738747713139064,,7,Lossguide,817,52.05871870022903,0.005853154075493269,32,90,COMPLETE
80,80,0.40403519654318015,2023-06-10 16:11:20.763715,2023-06-10 16:11:23.345613,0 days 00:00:02.581898,0.020457048095576462,Plain,7,SymmetricTree,814,50.416763668454685,0.008267742837821793,32,91,COMPLETE
81,81,0.29734589262982364,2023-06-10 16:11:23.346267,2023-06-10 16:11:26.225450,0 days 00:00:02.879183,0.01443705756954692,,7,Lossguide,885,55.08959743560064,0.0057953946343295565,32,90,COMPLETE
82,82,0.3216310362743427,2023-06-10 16:11:26.226118,2023-06-10 16:11:28.416757,0 days 00:00:02.190639,0.018427190340951187,,7,Lossguide,905,9.769316388892072,0.005367830706202548,32,90,COMPLETE
83,83,0.2969362460603725,2023-06-10 16:11:28.417369,2023-06-10 16:11:31.403056,0 days 00:00:02.985687,0.023932871177647346,,7,Lossguide,871,62.47063285709065,0.0060209082311215726,32,95,COMPLETE
84,84,0.3311522218413121,2023-06-10 16:11:31.403694,2023-06-10 16:11:33.107593,0 days 00:00:01.703899,0.014807786029155338,,6,Lossguide,864,5.478815481533554,0.0060696304078731575,32,95,COMPLETE
85,85,0.298086126770303,2023-06-10 16:11:33.108262,2023-06-10 16:11:36.113593,0 days 00:00:03.005331,0.028338127737738826,,8,Lossguide,830,98.84171992683463,0.007745853365931552,32,87,COMPLETE
86,86,0.330013770943542,2023-06-10 16:11:36.114274,2023-06-10 16:11:39.811885,0 days 00:00:03.697611,0.031878793429002225,,8,Depthwise,766,24.310489981093966,0.007034652815206742,32,87,COMPLETE
87,87,0.31422023308177777,2023-06-10 16:11:39.812572,2023-06-10 16:11:42.184397,0 days 00:00:02.371825,0.025957532521491133,,7,Lossguide,828,12.704863624192937,0.004746435078688883,32,95,COMPLETE
88,88,0.30046402815378936,2023-06-10 16:11:42.185109,2023-06-10 16:11:44.674938,0 days 00:00:02.489829,0.023454445965901117,,6,Lossguide,725,90.84130379238945,0.008045732261569231,32,84,COMPLETE
89,89,0.303634111803979,2023-06-10 16:11:44.675639,2023-06-10 16:11:47.117388,0 days 00:00:02.441749,0.03564665798426866,,8,Lossguide,788,26.947745223366415,0.005845601111594642,32,100,COMPLETE
90,90,0.3214337569179757,2023-06-10 16:11:47.118088,2023-06-10 16:11:48.555658,0 days 00:00:01.437570,0.017069742586145558,,7,Lossguide,868,10.010326642536382,0.01062840083402852,32,97,COMPLETE
91,91,0.2985891835519776,2023-06-10 16:11:48.556380,2023-06-10 16:11:51.813847,0 days 00:00:03.257467,0.028931349625541808,,7,Lossguide,837,48.72716618493075,0.004824600912627974,32,89,COMPLETE
