,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
2705,2705,0.2673833275885841,2023-06-10 18:49:19.158660,2023-06-10 18:49:19.518512,0 days 00:00:00.359852,0.9349245608605715,5,0.9503008620712708,0.00010219286777555599,0.08110895809997443,0.29986636058900745,65,75,0.050830633064732844,452,216,COMPLETE
4485,4485,0.26740584648640314,2023-06-10 19:04:06.803216,2023-06-10 19:04:10.632555,0 days 00:00:03.829339,0.9904893573490141,6,0.6671725266347287,2.9836243245021914e-05,0.00018020934167172173,0.2598843878570082,62,63,0.04346614080241313,453,210,COMPLETE
957,957,0.2675276920729985,2023-06-10 18:41:49.852863,2023-06-10 18:41:50.046479,0 days 00:00:00.193616,0.9853039233201365,3,0.7344065969044967,1.8721136936766674,2.2806779785870115e-07,0.2999115112645435,52,78,0.04749964528677341,678,200,COMPLETE
4555,4555,0.2677650402497583,2023-06-10 19:04:52.113307,2023-06-10 19:04:52.776761,0 days 00:00:00.663454,0.964489083039308,6,0.7394329200825354,1.1788806881907108e-07,4.7282297089753654e-07,0.25802165215421335,40,61,0.01629122247954918,524,219,COMPLETE
3758,3758,0.26780228287262453,2023-06-10 18:57:12.228802,2023-06-10 18:57:12.787728,0 days 00:00:00.558926,0.9419452046640835,6,0.61163557619036,0.0007889175352625763,1.4132368419722367e-06,0.29886790819220016,79,66,0.05569205823792828,503,188,COMPLETE
2698,2698,0.26793266866628374,2023-06-10 18:49:16.496219,2023-06-10 18:49:16.862489,0 days 00:00:00.366270,0.9327684069179855,5,0.9380574573705465,0.00011914590734789045,0.11385940703154945,0.29953580360822407,64,73,0.08365586571908001,446,215,COMPLETE
4586,4586,0.26795868622179814,2023-06-10 19:05:10.704232,2023-06-10 19:05:11.590046,0 days 00:00:00.885814,0.9640876852269116,7,0.7949218513373515,6.646949330502848e-08,9.265583900619095e-08,0.299738044138538,51,62,0.04252918506582302,496,212,COMPLETE
3839,3839,0.268223670323273,2023-06-10 18:57:52.693452,2023-06-10 18:57:53.205258,0 days 00:00:00.511806,0.9499423260139651,6,0.6190278984489574,3.536491082230615e-08,3.236159480693915e-08,0.29977479514879873,58,68,0.05572841414655347,456,256,COMPLETE
1475,1475,0.26834009229605643,2023-06-10 18:43:23.543086,2023-06-10 18:43:23.784688,0 days 00:00:00.241602,0.9637945847516064,3,0.8917758768964321,0.9755678232796703,4.33576579598077e-05,0.25753446525074564,63,79,0.028567649804655832,420,168,COMPLETE
108,108,0.2685536859718818,2023-06-10 18:40:18.160946,2023-06-10 18:40:18.261191,0 days 00:00:00.100245,0.9484248838375645,4,0.9683272446977709,4.128072501029996e-07,0.013701472882581138,0.2633507727620957,51,81,0.05214554827283762,415,124,COMPLETE
72,72,0.26859774771498923,2023-06-10 18:40:15.304418,2023-06-10 18:40:15.503648,0 days 00:00:00.199230,0.9560642299546308,2,0.9617146669142815,9.512384505257505e-07,0.02133819718895301,0.232771675154465,71,78,0.05923484315192123,449,229,COMPLETE
213,213,0.268645726446611,2023-06-10 18:40:26.924645,2023-06-10 18:40:27.037737,0 days 00:00:00.113092,0.9498669428569639,3,0.8844299451460279,5.900627321357492e-06,0.2233059439822265,0.2594621456836897,90,77,0.05223914370148667,363,219,COMPLETE
3437,3437,0.26867490742641836,2023-06-10 18:54:29.165720,2023-06-10 18:54:29.683368,0 days 00:00:00.517648,0.9727795524040209,3,0.9235381423360681,0.010537467850833983,0.00014420863145599727,0.2998805940627896,53,70,0.09399248489957711,400,40,COMPLETE
1362,1362,0.2690790597466091,2023-06-10 18:43:01.155807,2023-06-10 18:43:01.378612,0 days 00:00:00.222805,0.9816266348341585,6,0.9279249313086786,1.0046444461620877e-05,1.8436098171570754e-08,0.26024442859930186,67,65,0.06048498678358035,332,230,COMPLETE
52,52,0.26917773594465355,2023-06-10 18:40:13.660868,2023-06-10 18:40:13.780508,0 days 00:00:00.119640,0.9756298996280398,3,0.850962638195544,3.927901578542698e-07,0.352976634542351,0.22086886094453784,71,94,0.0614311068871064,363,184,COMPLETE
26,26,0.26934748277046555,2023-06-10 18:40:11.787401,2023-06-10 18:40:11.906218,0 days 00:00:00.118817,0.9946055091976861,7,0.9831313889274533,9.296977817835709e-05,0.12149044050385958,0.1420644925952642,75,75,0.05787540650941156,715,153,COMPLETE
927,927,0.2694349784910617,2023-06-10 18:41:45.583248,2023-06-10 18:41:45.759964,0 days 00:00:00.176716,0.9779423233845282,3,0.7602143748126171,1.603829805161439e-07,0.008850615169478803,0.23719860201042028,42,71,0.0370447343962715,792,171,COMPLETE
3111,3111,0.26947539247659213,2023-06-10 18:51:58.523183,2023-06-10 18:51:58.932892,0 days 00:00:00.409709,0.9499681518051813,5,0.6637786844333545,0.0002360380634712137,0.9176977898306348,0.29922477688997756,62,68,0.01700926946269002,461,214,COMPLETE
4977,4977,0.269605906425446,2023-06-10 19:09:31.234912,2023-06-10 19:09:31.953787,0 days 00:00:00.718875,0.9721676709302213,5,0.655444589652145,2.3764091811299642e-07,0.032048126411318635,0.23149757382683503,73,63,0.0863799674028701,382,180,COMPLETE
3704,3704,0.2700464450200287,2023-06-10 18:56:45.177704,2023-06-10 18:56:45.732954,0 days 00:00:00.555250,0.9546125238826136,6,0.6455469666958512,6.46209449236633e-08,0.0030982627166193386,0.2645145409855159,59,66,0.07350449555682409,476,181,COMPLETE
287,287,0.27017115831786026,2023-06-10 18:40:33.094300,2023-06-10 18:40:33.213452,0 days 00:00:00.119152,0.9996836523323643,1,0.9839763016721498,8.411715297999164e-07,0.6407978878164563,0.2260237862434726,76,69,0.046300713113614306,438,143,COMPLETE
1331,1331,0.27037608057958246,2023-06-10 18:42:55.338712,2023-06-10 18:42:55.570628,0 days 00:00:00.231916,0.9881527480449093,6,0.6864337230615168,0.007931964889869999,8.645203713229633e-05,0.2241238793427089,51,66,0.06821383101748475,360,240,COMPLETE
94,94,0.2708229382642375,2023-06-10 18:40:17.048527,2023-06-10 18:40:17.145863,0 days 00:00:00.097336,0.92639453279777,3,0.8918701024634796,4.537838380683824e-07,0.31620317760214106,0.25133146417381785,60,67,0.055437068140200614,457,149,COMPLETE
2285,2285,0.27095608963850604,2023-06-10 18:46:54.054733,2023-06-10 18:46:54.455652,0 days 00:00:00.400919,0.9148551976975763,5,0.7462090146109854,1.8189381141890433e-07,0.28965977149968686,0.25755532404178405,67,66,0.06596907290336201,377,182,COMPLETE
791,791,0.2710396275305657,2023-06-10 18:41:26.692332,2023-06-10 18:41:26.870691,0 days 00:00:00.178359,0.980218386810379,3,0.8617546478479513,2.9992733073394824e-06,0.00046141573687000784,0.29760836362743365,58,71,0.04235115439663013,381,211,COMPLETE
316,316,0.2711144041761611,2023-06-10 18:40:35.688479,2023-06-10 18:40:35.804944,0 days 00:00:00.116465,0.9265590966177024,2,0.7555153469497244,7.215891696983828e-07,0.005768288976092851,0.29470327576630573,87,79,0.049334593901724684,446,169,COMPLETE
193,193,0.2712743512521649,2023-06-10 18:40:25.320729,2023-06-10 18:40:25.483476,0 days 00:00:00.162747,0.9449722282598362,3,0.9520673576856657,2.714435475248455e-06,0.17572304197636587,0.25316497955761275,41,81,0.06109345173625728,379,231,COMPLETE
156,156,0.27132657839301555,2023-06-10 18:40:22.201578,2023-06-10 18:40:22.305706,0 days 00:00:00.104128,0.9659975259712464,7,0.9722484547765441,3.5505592195919034e-08,0.021311115152040143,0.2545071170488805,53,72,0.045687655108634165,351,243,COMPLETE
511,511,0.2713870755819996,2023-06-10 18:40:54.227602,2023-06-10 18:40:54.489208,0 days 00:00:00.261606,0.9653252795426198,3,0.6675769420712135,6.191246390264237e-07,9.258844770602562e-05,0.2997633641804488,52,65,0.07033239550025037,414,210,COMPLETE
87,87,0.2718788243210954,2023-06-10 18:40:16.543840,2023-06-10 18:40:16.653917,0 days 00:00:00.110077,0.9980203468091999,3,0.8908486657716079,1.8402701123853567e-07,0.2357493738317429,0.1861005066732206,59,66,0.06712144505190243,437,155,COMPLETE
3921,3921,0.2720096968760898,2023-06-10 18:58:39.820305,2023-06-10 18:58:40.398669,0 days 00:00:00.578364,0.9611594422606539,6,0.684620314330989,3.885134048357555e-06,0.00021555907403349552,0.2594433230986519,39,55,0.006772109881259941,519,194,COMPLETE
2699,2699,0.2721802989835973,2023-06-10 18:49:16.863610,2023-06-10 18:49:17.401902,0 days 00:00:00.538292,0.9215789612343028,5,0.928900656360175,0.0001234896090132812,0.13553999175964176,0.2690777271021673,65,76,0.08202377542578194,461,215,COMPLETE
70,70,0.2721879772444614,2023-06-10 18:40:15.091893,2023-06-10 18:40:15.203070,0 days 00:00:00.111177,0.9754028927603273,3,0.9809531605556864,7.99366402431819e-07,0.0050358650570171345,0.1852379519421077,70,78,0.06301149423283182,414,211,COMPLETE
359,359,0.27263921254884993,2023-06-10 18:40:39.526146,2023-06-10 18:40:39.656277,0 days 00:00:00.130131,0.9157135299079019,3,0.9682268815673378,5.526449072335836e-06,0.5990514696403189,0.26292592150101834,72,70,0.06723582750947002,419,217,COMPLETE
736,736,0.2727867248258897,2023-06-10 18:41:19.801665,2023-06-10 18:41:19.964369,0 days 00:00:00.162704,0.919010311811529,3,0.7236670613664177,4.9613275250233455e-05,1.6776579610722346e-08,0.29991028362884975,125,73,0.09924761611315153,336,227,COMPLETE
1171,1171,0.2729255931870203,2023-06-10 18:42:27.499475,2023-06-10 18:42:27.764089,0 days 00:00:00.264614,0.9392199396474551,3,0.7541331525202007,9.040224740381933e-05,3.557998826834222e-08,0.299830271110677,134,64,0.08167658945371388,353,206,COMPLETE
3306,3306,0.2729435600360623,2023-06-10 18:53:25.630096,2023-06-10 18:53:26.138918,0 days 00:00:00.508822,0.9701865952352207,3,0.7024373803879288,6.988544934192142e-05,0.13413509237672966,0.23200527682336727,52,62,0.09294608408047093,487,224,COMPLETE
2706,2706,0.27297100226148546,2023-06-10 18:49:19.519585,2023-06-10 18:49:19.962057,0 days 00:00:00.442472,0.9228290788383043,5,0.9461887370816728,0.00024255019001563272,0.06080366894122822,0.2994171272791385,61,73,0.050302665488515544,484,217,COMPLETE
81,81,0.27299328479618223,2023-06-10 18:40:16.049113,2023-06-10 18:40:16.155036,0 days 00:00:00.105923,0.9839806090209542,3,0.8965616478608747,3.4733875406957917e-07,0.050999016280013576,0.1898245093778174,50,75,0.05194206599366703,374,219,COMPLETE
3361,3361,0.27309711475572984,2023-06-10 18:53:49.927287,2023-06-10 18:53:50.598236,0 days 00:00:00.670949,0.9709887699854951,5,0.8497085539069709,0.006722793352339424,1.2157153142206525,0.2621744992237544,61,45,0.005164689451566231,410,209,COMPLETE
2707,2707,0.27316166554601984,2023-06-10 18:49:19.963131,2023-06-10 18:49:20.395293,0 days 00:00:00.432162,0.9317550790229352,5,0.939853213205373,0.00012467938605261348,0.06828016061980256,0.2603893031702022,60,75,0.014024239047788578,469,211,COMPLETE
3239,3239,0.2735023244753584,2023-06-10 18:52:55.945108,2023-06-10 18:52:56.557409,0 days 00:00:00.612301,0.9512084540111184,3,0.6781493683480996,0.031196677658948797,0.3444927585425014,0.26096738187623686,69,52,0.0140306624097575,497,247,COMPLETE
2710,2710,0.2735398926828686,2023-06-10 18:49:21.100044,2023-06-10 18:49:21.546887,0 days 00:00:00.446843,0.9250193146033472,5,0.9407564580338488,0.0003189225524236338,0.09073605681458202,0.2996686317978522,64,72,0.05184256537973426,454,209,COMPLETE
3942,3942,0.2737231540740481,2023-06-10 18:58:50.732966,2023-06-10 18:58:51.310718,0 days 00:00:00.577752,0.9554901673826182,6,0.6237332787025419,0.004393130079505323,0.0001239936158624811,0.29999061984817427,36,50,0.05552674957344314,483,189,COMPLETE
158,158,0.2739672985044787,2023-06-10 18:40:22.450178,2023-06-10 18:40:22.553980,0 days 00:00:00.103802,0.9493263625412847,7,0.9118953373974584,3.626635451595747e-08,0.007721190485799534,0.2415719648979029,44,68,0.045069344678918676,351,254,COMPLETE
1117,1117,0.27402148050790776,2023-06-10 18:42:18.548803,2023-06-10 18:42:18.763149,0 days 00:00:00.214346,0.9701705316974143,1,0.965433106756906,0.002120308726412257,0.016369972533330696,0.29970346684975213,68,76,0.06218627463191356,408,244,COMPLETE
283,283,0.27402758310078834,2023-06-10 18:40:32.677261,2023-06-10 18:40:32.811988,0 days 00:00:00.134727,0.8046979874294091,1,0.9888320297797066,4.891976708439973e-07,0.7511826662060448,0.2978068714115948,70,69,0.04532325823440248,444,146,COMPLETE
3932,3932,0.2743254623527077,2023-06-10 18:58:45.529695,2023-06-10 18:58:46.111994,0 days 00:00:00.582299,0.9433595260269039,6,0.6293944193969591,0.11208925059273117,0.00046631767518238087,0.29967094166021946,33,47,0.06974820380014211,536,204,COMPLETE
56,56,0.2743666827130957,2023-06-10 18:40:13.952840,2023-06-10 18:40:14.057737,0 days 00:00:00.104897,0.8881135010217415,4,0.8666503379614175,1.904554977939826e-06,0.02916342525765655,0.22883972827883436,85,85,0.05558580524107928,457,210,COMPLETE
1276,1276,0.27444468841768443,2023-06-10 18:42:45.410051,2023-06-10 18:42:45.620983,0 days 00:00:00.210932,0.9216084308498761,3,0.9724154727368097,3.307609133045446e-05,0.0001736466685376163,0.2572798699846222,62,70,0.047127035029305445,372,182,COMPLETE
109,109,0.2745320709215475,2023-06-10 18:40:18.262014,2023-06-10 18:40:18.507126,0 days 00:00:00.245112,0.9529638526664098,4,0.9874487100317101,4.645167066450147e-07,0.013017947013077721,0.21878973968436408,60,81,0.05235287667596115,411,112,COMPLETE
48,48,0.27454156611643404,2023-06-10 18:40:13.244914,2023-06-10 18:40:13.460337,0 days 00:00:00.215423,0.9700981588344966,4,0.8791695461111477,2.8803253661072078e-06,0.2760758764494553,0.20504523616904688,62,95,0.05292737232902282,357,184,COMPLETE
3973,3973,0.2747384814427577,2023-06-10 18:59:07.022259,2023-06-10 18:59:07.599319,0 days 00:00:00.577060,0.9595593240702859,6,0.6281936075634824,0.04861842591276092,3.7203193262047027e-07,0.2985298328790371,56,63,0.010071594362124734,564,200,COMPLETE
151,151,0.2749277007700236,2023-06-10 18:40:21.780317,2023-06-10 18:40:21.890111,0 days 00:00:00.109794,0.9675637252237148,3,0.9198330586567176,7.012212444989743e-07,0.11080787823682119,0.24710175763677703,52,76,0.05039738163614302,360,251,COMPLETE
1232,1232,0.2750465985825131,2023-06-10 18:42:37.741478,2023-06-10 18:42:37.946696,0 days 00:00:00.205218,0.9657235297973394,3,0.9750715386354984,0.0002876087705356513,0.0002787796558985723,0.2610094959315158,206,63,0.04250449862493669,357,186,COMPLETE
143,143,0.2752237186626381,2023-06-10 18:40:21.138109,2023-06-10 18:40:21.250601,0 days 00:00:00.112492,0.9645346255408215,3,0.9647586924518559,1.732504541034952e-08,0.09936992335779175,0.20257011149081403,60,85,0.0524340278958029,322,232,COMPLETE
