,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
710,710,0.2672710935761841,2023-06-10 17:48:00.559405,2023-06-10 17:48:00.723109,0 days 00:00:00.163704,3,0.9995152407254788,1.1984383932091783e-06,4.320718253521481e-08,0.231474242598882,111,6,0.09944273915970409,621,146,COMPLETE
302,302,0.2673613398442759,2023-06-10 17:47:19.571588,2023-06-10 17:47:19.709166,0 days 00:00:00.137578,6,0.57420848665868,1.4038044061320739e-05,4.59359978676739e-06,0.21978634472516542,170,15,0.023266591462501884,675,129,COMPLETE
25,25,0.2675404989678083,2023-06-10 17:46:58.250379,2023-06-10 17:46:58.354572,0 days 00:00:00.104193,4,0.5668105055888356,0.00015975704002121804,2.2319201954687207e-07,0.29073554038698607,149,26,0.022065966933195062,681,10,COMPLETE
123,123,0.26770918111200176,2023-06-10 17:47:05.553657,2023-06-10 17:47:05.679962,0 days 00:00:00.126305,4,0.7832508862084316,3.900976124191199e-05,2.028944017485474e-06,0.1741144465994635,159,21,0.04101957455379696,571,113,COMPLETE
672,672,0.2678425927459427,2023-06-10 17:47:56.305363,2023-06-10 17:47:56.455400,0 days 00:00:00.150037,4,0.8588592165071286,0.008532805770962345,0.00011511655312821287,0.255332524550937,105,16,0.07048413180524916,603,98,COMPLETE
171,171,0.2682692794032815,2023-06-10 17:47:09.189670,2023-06-10 17:47:09.304772,0 days 00:00:00.115102,3,0.7714548911509015,5.540031314827078e-05,2.1008818908175763e-06,0.20395280373529068,174,13,0.039698577552778655,651,127,COMPLETE
2087,2087,0.2683050494280118,2023-06-10 17:52:10.249567,2023-06-10 17:52:10.544278,0 days 00:00:00.294711,7,0.8543448946342076,0.014396272195023445,3.899889657463014e-05,0.2668139152508865,171,19,0.0689092628151076,588,117,COMPLETE
563,563,0.2685134843455299,2023-06-10 17:47:44.609735,2023-06-10 17:47:44.760064,0 days 00:00:00.150329,2,0.7454855267562789,0.1396020981202821,1.312672031426254e-05,0.23484378013755752,113,14,0.01381654815646098,637,121,COMPLETE
11,11,0.2686295763788997,2023-06-10 17:46:56.672928,2023-06-10 17:46:56.938603,0 days 00:00:00.265675,3,0.6826530815206283,0.04750705461874106,0.9730747719232704,0.044541626685711135,236,25,0.0002779120875322158,665,254,COMPLETE
3171,3171,0.2686680016214411,2023-06-10 17:57:48.545323,2023-06-10 17:57:48.927685,0 days 00:00:00.382362,4,0.7624701029164507,8.513771816096143e-05,1.2044671105909252e-05,0.26173271097935086,59,14,0.09785194270889548,716,142,COMPLETE
3,3,0.2703812968683561,2023-06-10 17:46:55.562283,2023-06-10 17:46:55.864190,0 days 00:00:00.301907,4,0.526226306326827,4.5264545412876263e-08,5.386335450820326e-07,0.0387956991566969,174,25,0.03681585444932187,922,26,COMPLETE
201,201,0.27044863593003676,2023-06-10 17:47:11.536840,2023-06-10 17:47:11.657081,0 days 00:00:00.120241,3,0.7732270994940629,0.00015698081685916994,1.6258422605570846e-06,0.20478552183564888,171,13,0.0396708792359846,643,136,COMPLETE
2163,2163,0.270595921837644,2023-06-10 17:52:29.993293,2023-06-10 17:52:30.350153,0 days 00:00:00.356860,7,0.8267811068276131,0.00015048506042515203,1.2583653328593625,0.2994036375727154,71,12,0.09530755228013787,628,93,COMPLETE
2884,2884,0.2706327345485511,2023-06-10 17:56:05.933668,2023-06-10 17:56:06.372074,0 days 00:00:00.438406,7,0.8053750682960709,3.7354803881872223e-06,1.072197757969423e-07,0.29998748338898834,167,19,0.04651206678656511,593,145,COMPLETE
2059,2059,0.2707272882883381,2023-06-10 17:52:02.703092,2023-06-10 17:52:02.983329,0 days 00:00:00.280237,4,0.9844627769136062,3.44607301636963e-05,1.9916564159817193e-08,0.2560531245343387,99,19,0.09110107112950372,494,22,COMPLETE
794,794,0.2708497982530943,2023-06-10 17:48:10.511518,2023-06-10 17:48:10.679011,0 days 00:00:00.167493,3,0.7887396905452677,2.2630980549411652e-08,0.31377365303640037,0.25359867315915663,93,14,0.05690163133787132,587,98,COMPLETE
107,107,0.270873168151322,2023-06-10 17:47:04.272092,2023-06-10 17:47:04.385325,0 days 00:00:00.113233,5,0.7844321970054259,2.943745823151245e-07,9.860758061764052e-08,0.22323877374186654,178,24,0.046495683345755955,553,177,COMPLETE
1786,1786,0.27096919996703556,2023-06-10 17:50:58.140371,2023-06-10 17:50:58.463865,0 days 00:00:00.323494,3,0.976626596924043,5.295183984925762e-06,3.771872975611035e-07,0.1964978951853865,53,12,0.09691076642547207,523,96,COMPLETE
